run_accession	sample_accession	experiment_accession	study_accession	scientific_name	fastq_ftp	sample_alias
ERR10493061	SAMEA112135627	ERX10011352	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/061/ERR10493061/ERR10493061_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/061/ERR10493061/ERR10493061_2.fastq.gz	long_indv47_tumor
ERR10493062	SAMEA112135634	ERX10011353	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/062/ERR10493062/ERR10493062_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/062/ERR10493062/ERR10493062_2.fastq.gz	long_indv485_normal
ERR10493063	SAMEA112135633	ERX10011354	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/063/ERR10493063/ERR10493063_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/063/ERR10493063/ERR10493063_2.fastq.gz	long_indv485_tumor
ERR10493064	SAMEA112135632	ERX10011355	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/064/ERR10493064/ERR10493064_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/064/ERR10493064/ERR10493064_2.fastq.gz	long_indv48_normal
ERR10493066	SAMEA112135636	ERX10011357	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/066/ERR10493066/ERR10493066_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/066/ERR10493066/ERR10493066_2.fastq.gz	long_indv498_normal
ERR10493072	SAMEA112135639	ERX10011363	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/072/ERR10493072/ERR10493072_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/072/ERR10493072/ERR10493072_2.fastq.gz	long_indv512_tumor
ERR10493076	SAMEA112135643	ERX10011367	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/076/ERR10493076/ERR10493076_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/076/ERR10493076/ERR10493076_2.fastq.gz	long_indv73_tumor
ERR10493078	SAMEA112135645	ERX10011369	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/078/ERR10493078/ERR10493078_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/078/ERR10493078/ERR10493078_2.fastq.gz	long_indv95_tumor
ERR10493082	SAMEA112135449	ERX10011373	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/082/ERR10493082/ERR10493082_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/082/ERR10493082/ERR10493082_2.fastq.gz	short_indv150_tumor
ERR10493089	SAMEA112135470	ERX10011380	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/089/ERR10493089/ERR10493089_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/089/ERR10493089/ERR10493089_2.fastq.gz	short_indv177_normal
ERR10493090	SAMEA112135469	ERX10011381	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/090/ERR10493090/ERR10493090_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/090/ERR10493090/ERR10493090_2.fastq.gz	short_indv177_tumor
ERR10493091	SAMEA112135472	ERX10011382	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/091/ERR10493091/ERR10493091_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/091/ERR10493091/ERR10493091_2.fastq.gz	short_indv178_normal
ERR10493095	SAMEA112135484	ERX10011386	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/095/ERR10493095/ERR10493095_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/095/ERR10493095/ERR10493095_2.fastq.gz	short_indv191_normal
ERR10493099	SAMEA112135492	ERX10011390	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/099/ERR10493099/ERR10493099_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/099/ERR10493099/ERR10493099_2.fastq.gz	short_indv199_normal
ERR10493100	SAMEA112135491	ERX10011391	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/000/ERR10493100/ERR10493100_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/000/ERR10493100/ERR10493100_2.fastq.gz	short_indv199_tumor
ERR10493105	SAMEA112135500	ERX10011396	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/005/ERR10493105/ERR10493105_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/005/ERR10493105/ERR10493105_2.fastq.gz	short_indv232_normal
ERR10493106	SAMEA112135499	ERX10011397	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/006/ERR10493106/ERR10493106_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/006/ERR10493106/ERR10493106_2.fastq.gz	short_indv232_tumor
ERR10493114	SAMEA112135508	ERX10011405	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/014/ERR10493114/ERR10493114_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/014/ERR10493114/ERR10493114_2.fastq.gz	short_indv247_normal
ERR10493115	SAMEA112135507	ERX10011406	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/015/ERR10493115/ERR10493115_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/015/ERR10493115/ERR10493115_2.fastq.gz	short_indv247_tumor
ERR10493118	SAMEA112135514	ERX10011410	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/018/ERR10493118/ERR10493118_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/018/ERR10493118/ERR10493118_2.fastq.gz	short_indv255_normal
ERR10493121	SAMEA112135517	ERX10011413	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/021/ERR10493121/ERR10493121_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/021/ERR10493121/ERR10493121_2.fastq.gz	short_indv261_tumor
ERR10493125	SAMEA112135521	ERX10011417	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/025/ERR10493125/ERR10493125_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/025/ERR10493125/ERR10493125_2.fastq.gz	short_indv264_tumor
ERR10493127	SAMEA112135523	ERX10011419	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/027/ERR10493127/ERR10493127_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/027/ERR10493127/ERR10493127_2.fastq.gz	short_indv265_tumor
ERR10493131	SAMEA112135533	ERX10011423	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/031/ERR10493131/ERR10493131_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/031/ERR10493131/ERR10493131_2.fastq.gz	short_indv279_tumor
ERR10493132	SAMEA112135538	ERX10011424	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/032/ERR10493132/ERR10493132_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/032/ERR10493132/ERR10493132_2.fastq.gz	short_indv284_normal
ERR10493136	SAMEA112135544	ERX10011428	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/036/ERR10493136/ERR10493136_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/036/ERR10493136/ERR10493136_2.fastq.gz	short_indv291_normal
ERR10493141	SAMEA112135553	ERX10011433	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/041/ERR10493141/ERR10493141_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/041/ERR10493141/ERR10493141_2.fastq.gz	short_indv305_tumor
ERR10493142	SAMEA112135560	ERX10011434	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/042/ERR10493142/ERR10493142_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/042/ERR10493142/ERR10493142_2.fastq.gz	short_indv311_normal
ERR10493149	SAMEA112135570	ERX10011441	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/049/ERR10493149/ERR10493149_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/049/ERR10493149/ERR10493149_2.fastq.gz	short_indv332_normal
ERR10493152	SAMEA112135571	ERX10011444	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/052/ERR10493152/ERR10493152_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/052/ERR10493152/ERR10493152_2.fastq.gz	short_indv335_tumor
ERR10493156	SAMEA112135582	ERX10011448	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/056/ERR10493156/ERR10493156_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/056/ERR10493156/ERR10493156_2.fastq.gz	short_indv352_normal
ERR10493158	SAMEA112135584	ERX10011450	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/058/ERR10493158/ERR10493158_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/058/ERR10493158/ERR10493158_2.fastq.gz	short_indv355_normal
ERR10493170	SAMEA112135597	ERX10011462	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/070/ERR10493170/ERR10493170_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/070/ERR10493170/ERR10493170_2.fastq.gz	short_indv372_tumor
ERR10493175	SAMEA112135608	ERX10011467	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/075/ERR10493175/ERR10493175_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/075/ERR10493175/ERR10493175_2.fastq.gz	short_indv386_normal
ERR10493180	SAMEA112135615	ERX10011472	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/080/ERR10493180/ERR10493180_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/080/ERR10493180/ERR10493180_2.fastq.gz	short_indv395_tumor
ERR10493183	SAMEA112135620	ERX10011475	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/083/ERR10493183/ERR10493183_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/083/ERR10493183/ERR10493183_2.fastq.gz	short_indv406_normal
ERR10493185	SAMEA112135624	ERX10011477	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/085/ERR10493185/ERR10493185_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/085/ERR10493185/ERR10493185_2.fastq.gz	short_indv412_normal
ERR10493196	SAMEA112135447	ERX10011488	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/096/ERR10493196/ERR10493196_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/096/ERR10493196/ERR10493196_2.fastq.gz	long_indv148_tumor
ERR10493197	SAMEA112135454	ERX10011489	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/097/ERR10493197/ERR10493197_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/097/ERR10493197/ERR10493197_2.fastq.gz	long_indv160_normal
ERR10493199	SAMEA112135456	ERX10011491	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/099/ERR10493199/ERR10493199_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/099/ERR10493199/ERR10493199_2.fastq.gz	long_indv163_normal
ERR10493201	SAMEA112135458	ERX10011493	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/001/ERR10493201/ERR10493201_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/001/ERR10493201/ERR10493201_2.fastq.gz	long_indv164_normal
ERR10493203	SAMEA112135462	ERX10011495	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/003/ERR10493203/ERR10493203_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/003/ERR10493203/ERR10493203_2.fastq.gz	long_indv166_normal
ERR10493211	SAMEA112135478	ERX10011503	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/011/ERR10493211/ERR10493211_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/011/ERR10493211/ERR10493211_2.fastq.gz	long_indv182_normal
ERR10492990	SAMEA112135480	ERX10011279	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/090/ERR10492990/ERR10492990_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/090/ERR10492990/ERR10492990_2.fastq.gz	long_indv187_normal
ERR10492991	SAMEA112135479	ERX10011280	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/091/ERR10492991/ERR10492991_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/091/ERR10492991/ERR10492991_2.fastq.gz	long_indv187_tumor
ERR10492994	SAMEA112135488	ERX10011283	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/094/ERR10492994/ERR10492994_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/094/ERR10492994/ERR10492994_2.fastq.gz	long_indv197_normal
ERR10492995	SAMEA112135487	ERX10011284	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/095/ERR10492995/ERR10492995_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/095/ERR10492995/ERR10492995_2.fastq.gz	long_indv197_tumor
ERR10492996	SAMEA112135490	ERX10011285	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/096/ERR10492996/ERR10492996_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/096/ERR10492996/ERR10492996_2.fastq.gz	long_indv198_normal
ERR10493007	SAMEA112135525	ERX10011297	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/007/ERR10493007/ERR10493007_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/007/ERR10493007/ERR10493007_2.fastq.gz	long_indv269_tumor
ERR10493017	SAMEA112135541	ERX10011307	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/017/ERR10493017/ERR10493017_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/017/ERR10493017/ERR10493017_2.fastq.gz	long_indv290_tumor
ERR10493021	SAMEA112135547	ERX10011311	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/021/ERR10493021/ERR10493021_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/021/ERR10493021/ERR10493021_2.fastq.gz	long_indv297_tumor
ERR10493022	SAMEA112135550	ERX10011312	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/022/ERR10493022/ERR10493022_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/022/ERR10493022/ERR10493022_2.fastq.gz	long_indv298_normal
ERR10493025	SAMEA112135555	ERX10011315	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/025/ERR10493025/ERR10493025_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/025/ERR10493025/ERR10493025_2.fastq.gz	long_indv309_tumor
ERR10493028	SAMEA112135568	ERX10011318	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/028/ERR10493028/ERR10493028_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/028/ERR10493028/ERR10493028_2.fastq.gz	long_indv330_normal
ERR10493029	SAMEA112135567	ERX10011319	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/029/ERR10493029/ERR10493029_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/029/ERR10493029/ERR10493029_2.fastq.gz	long_indv330_tumor
ERR10493032	SAMEA112135576	ERX10011322	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/032/ERR10493032/ERR10493032_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/032/ERR10493032/ERR10493032_2.fastq.gz	long_indv342_normal
ERR10493035	SAMEA112135577	ERX10011325	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/035/ERR10493035/ERR10493035_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/035/ERR10493035/ERR10493035_2.fastq.gz	long_indv345_tumor
ERR10493038	SAMEA112135588	ERX10011328	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/038/ERR10493038/ERR10493038_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/038/ERR10493038/ERR10493038_2.fastq.gz	long_indv358_normal
ERR10493040	SAMEA112135596	ERX10011330	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/040/ERR10493040/ERR10493040_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/040/ERR10493040/ERR10493040_2.fastq.gz	long_indv368_normal
ERR10493044	SAMEA112135606	ERX10011334	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/044/ERR10493044/ERR10493044_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/044/ERR10493044/ERR10493044_2.fastq.gz	long_indv38_normal
ERR10493054	SAMEA112135621	ERX10011345	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/054/ERR10493054/ERR10493054_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/054/ERR10493054/ERR10493054_2.fastq.gz	long_indv408_tumor
ERR10493058	SAMEA112135630	ERX10011349	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/058/ERR10493058/ERR10493058_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/058/ERR10493058/ERR10493058_2.fastq.gz	long_indv474_normal
ERR10493065	SAMEA112135631	ERX10011356	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/065/ERR10493065/ERR10493065_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/065/ERR10493065/ERR10493065_2.fastq.gz	long_indv48_tumor
ERR10493068	SAMEA112135638	ERX10011359	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/068/ERR10493068/ERR10493068_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/068/ERR10493068/ERR10493068_2.fastq.gz	long_indv507_normal
ERR10493074	SAMEA112135641	ERX10011365	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/074/ERR10493074/ERR10493074_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/074/ERR10493074/ERR10493074_2.fastq.gz	long_indv540_tumor
ERR10493075	SAMEA112135644	ERX10011366	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/075/ERR10493075/ERR10493075_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/075/ERR10493075/ERR10493075_2.fastq.gz	long_indv73_normal
ERR10493077	SAMEA112135646	ERX10011368	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/077/ERR10493077/ERR10493077_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/077/ERR10493077/ERR10493077_2.fastq.gz	long_indv95_normal
ERR10493080	SAMEA112135445	ERX10011371	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/080/ERR10493080/ERR10493080_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/080/ERR10493080/ERR10493080_2.fastq.gz	short_indv145_tumor
ERR10493081	SAMEA112135450	ERX10011372	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/081/ERR10493081/ERR10493081_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/081/ERR10493081/ERR10493081_2.fastq.gz	short_indv150_normal
ERR10493083	SAMEA112135452	ERX10011374	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/083/ERR10493083/ERR10493083_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/083/ERR10493083/ERR10493083_2.fastq.gz	short_indv152_normal
ERR10493084	SAMEA112135451	ERX10011375	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/084/ERR10493084/ERR10493084_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/084/ERR10493084/ERR10493084_2.fastq.gz	short_indv152_tumor
ERR10493085	SAMEA112135460	ERX10011376	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/085/ERR10493085/ERR10493085_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/085/ERR10493085/ERR10493085_2.fastq.gz	short_indv165_normal
ERR10493087	SAMEA112135468	ERX10011378	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/087/ERR10493087/ERR10493087_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/087/ERR10493087/ERR10493087_2.fastq.gz	short_indv175_normal
ERR10493088	SAMEA112135467	ERX10011379	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/088/ERR10493088/ERR10493088_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/088/ERR10493088/ERR10493088_2.fastq.gz	short_indv175_tumor
ERR10493093	SAMEA112135474	ERX10011384	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/093/ERR10493093/ERR10493093_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/093/ERR10493093/ERR10493093_2.fastq.gz	short_indv179_normal
ERR10493098	SAMEA112135485	ERX10011389	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/098/ERR10493098/ERR10493098_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/098/ERR10493098/ERR10493098_2.fastq.gz	short_indv193_tumor
ERR10493103	SAMEA112135498	ERX10011394	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/003/ERR10493103/ERR10493103_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/003/ERR10493103/ERR10493103_2.fastq.gz	short_indv225_normal
ERR10493104	SAMEA112135497	ERX10011395	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/004/ERR10493104/ERR10493104_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/004/ERR10493104/ERR10493104_2.fastq.gz	short_indv225_tumor
ERR10493108	SAMEA112135502	ERX10011399	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/008/ERR10493108/ERR10493108_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/008/ERR10493108/ERR10493108_2.fastq.gz	short_indv242_normal
ERR10493109	SAMEA112135501	ERX10011400	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/009/ERR10493109/ERR10493109_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/009/ERR10493109/ERR10493109_2.fastq.gz	short_indv242_tumor
ERR10493110	SAMEA112135506	ERX10011401	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/010/ERR10493110/ERR10493110_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/010/ERR10493110/ERR10493110_2.fastq.gz	short_indv246_normal
ERR10493117	SAMEA112135509	ERX10011409	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/017/ERR10493117/ERR10493117_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/017/ERR10493117/ERR10493117_2.fastq.gz	short_indv248_tumor
ERR10493119	SAMEA112135513	ERX10011411	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/019/ERR10493119/ERR10493119_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/019/ERR10493119/ERR10493119_2.fastq.gz	short_indv255_tumor
ERR10493120	SAMEA112135518	ERX10011412	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/020/ERR10493120/ERR10493120_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/020/ERR10493120/ERR10493120_2.fastq.gz	short_indv261_normal
ERR10493122	SAMEA112135520	ERX10011414	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/022/ERR10493122/ERR10493122_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/022/ERR10493122/ERR10493122_2.fastq.gz	short_indv263_normal
ERR10493123	SAMEA112135519	ERX10011415	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/023/ERR10493123/ERR10493123_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/023/ERR10493123/ERR10493123_2.fastq.gz	short_indv263_tumor
ERR10493128	SAMEA112135528	ERX10011420	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/028/ERR10493128/ERR10493128_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/028/ERR10493128/ERR10493128_2.fastq.gz	short_indv273_normal
ERR10493129	SAMEA112135527	ERX10011421	PRJEB57580	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/029/ERR10493129/ERR10493129_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/029/ERR10493129/ERR10493129_2.fastq.gz	short_indv273_tumor
